,title,companyName,salary,summary
0,newData Analyst,SignEasy,,"Interpret data, analyze results and build inferences to inform leadership decisions.Identify, analyze, and interpret trends or patterns in complex data sets."
1,Data Analyst Intern,WeePreside,"₹1,500 - ₹3,000 a month","Job Types: Part-time, Internship.Total work: 1 year (Preferred)."
2,newData Operations Analyst Intern,Datakalp LLP,"₹3,000 a month",The internship is in the area of data annotation specifically on video data.It will be a stepping stone to building a career in data operations or data…
3,Data Analyst Internship,Crypto Mize,,Data Analyst Internship in Delhi at CryptoMize - Check Out Data Analyst Internship to A data analyst is a person who examines data using data analysis software.
4,newIntern-Data Analytics,Merkle,,Use statistical methods to analyze data and generate useful business reports.Liaise with internal and external clients to fully understand data content.
5,Data Analyst,Propellum Infotech Private Limited.,"₹10,000 a month","Work closely with development, product management, and various other teams to deliver high-quality job data.Knowledge of *HTML an added advantage *."
6,newSenior Data Analyst,Convosight,,"Organizing, structuring and maintaining category models to ensure data integrity and accuracy.The role entails working closely with the Sales and Customer…"
7,Business Analyst Intern,Techno Brain India Pvt Ltd,"₹5,000 - ₹13,000 a month","You will be mentored and trained in a wide range of tools and techniques, distilling down data for actionable takeaways and making recommendations across…"
8,Financial Data Analyst,Moody’s,,"Create and maintain various documentations and provide guidance to support analysts basis the same.Our data, analytical solutions and insights help decision…"
9,newIntern-Data Analytics,Merkle Sokrati,,Use statistical methods to analyze data and generate useful business reports.Liaise with internal and external clients to fully understand data content.
10,newFinancial Analyst,Convosight,,"3+ years of relevant experience in a business analyst, data analyst or statistical analysis role.Identify, develop and execute data analysis to uncover areas…"
11,Solutions Analyst - Sustainability Insights,McKinsey & Company,,You will conduct research and analysis covering a broad range of topics across various sectors and business functions.
12,Quant Research Intern,NK SECURITIES RESEARCH,,"Proficiency in using Python, R, or Matlab for statistical/data analysis of HFT tick data.Analyse large financial data sets to identify trading opportunities."
13,Data Analytics Intern ( Female Only ),Instrovate Technologies,"₹5,000 - ₹6,000 a month","Work with the mentor to work on Microsoft/ AWS tech stack for data science and data analytics using Azure, machine learning, Microsoft Power Platform, etc and…"
14,Analyst - Project Management for Marketing team- Hyderabad,Deloitte,,"Prepare reports illustrating data graphically and translating complex findings into written text.Ability to scope, plan, research, analyze, and present data in…"
15,newData Analyst,SignEasy,,"Interpret data, analyze results and build inferences to inform leadership decisions.Identify, analyze, and interpret trends or patterns in complex data sets."
16,Data Analyst Intern,WeePreside,"₹1,500 - ₹3,000 a month","Job Types: Part-time, Internship.Total work: 1 year (Preferred)."
17,newData Operations Analyst Intern,Datakalp LLP,"₹3,000 a month",The internship is in the area of data annotation specifically on video data.It will be a stepping stone to building a career in data operations or data…
